# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.762499194123479551e+00 -2.178142167286206687e-01 2.299838969772141084e+00 -4.591068549239469831e+00 4.348130513237959960e-01 3.434103039865583629e+00 3.252243141181906938e-01
1.771504963954652734e+00 -2.192740936541947017e-01 2.284527166847292179e+00 -4.560502261507672017e+00 4.377273400429841921e-01 3.355333538033806295e+00 3.220010205001218595e-01
1.780442206896585722e+00 -2.207084683399225533e-01 2.269680125293846551e+00 -4.530863756708497725e+00 4.405907197475829040e-01 3.278491649679145858e+00 3.187942437156957576e-01
1.789470083872545692e+00 -2.221430521232092281e-01 2.255022695630005014e+00 -4.501603765871375451e+00 4.434545168604706600e-01 3.204814874922724321e+00 3.156595062039927457e-01
1.798431571022990116e+00 -2.235530496741295614e-01 2.240799779221064991e+00 -4.473211174965795678e+00 4.462692335446475367e-01 3.132895807266754762e+00 3.125407188722648666e-01
1.807483266389328769e+00 -2.249632574429174803e-01 2.226753071548249086e+00 -4.445170341889014942e+00 4.490843698734433564e-01 3.063889477210684387e+00 3.094915745630300585e-01
1.816466541516001287e+00 -2.263491190217205296e-01 2.213119391869156960e+00 -4.417954018650453563e+00 4.518509049597273508e-01 2.996488840490996175e+00 3.064578364265693189e-01
1.825539557240271726e+00 -2.277351918257660424e-01 2.199649605181084322e+00 -4.391064867853504694e+00 4.546178617015121937e-01 2.931776082973961639e+00 3.034915636669450745e-01
1.834545566478121836e+00 -2.290976795215181605e-01 2.186567869120245255e+00 -4.364950365663019305e+00 4.573377365150550489e-01 2.868532579824833562e+00 3.005401734809036163e-01
1.843640875693372427e+00 -2.304603794973067166e-01 2.173638810166970803e+00 -4.339140646133000878e+00 4.600580350896401605e-01 2.807763895045873426e+00 2.976536995192677337e-01
1.852669961834122025e+00 -2.318001346173622912e-01 2.161075644144663688e+00 -4.314061342762904872e+00 4.627325298443183410e-01 2.748342177554839783e+00 2.947816085665196373e-01
1.861787921705002624e+00 -2.331401030913345940e-01 2.148654902103022568e+00 -4.289266354181209273e+00 4.654074505036791543e-01 2.691206965127741935e+00 2.919722027602764669e-01
1.870839754301793834e+00 -2.344576460975706378e-01 2.136580460801013714e+00 -4.265162670718980920e+00 4.680376041748015581e-01 2.635308694566898868e+00 2.891767011256005104e-01
1.879980035192801546e+00 -2.357754035187488717e-01 2.124639034513398972e+00 -4.241324519334265020e+00 4.706681858685833886e-01 2.581534789486013448e+00 2.864421882067264002e-01
1.889052004461151624e+00 -2.370709160043283081e-01 2.113028600446415606e+00 -4.218147113337776588e+00 4.732543609626163050e-01 2.528898269187176417e+00 2.837211159744721378e-01
1.898211953067344693e+00 -2.383666438441572333e-01 2.101542472272201589e+00 -4.195217853777370109e+00 4.758409659543036963e-01 2.478226325840862110e+00 2.810587559537724434e-01
1.907308052335121351e+00 -2.396412381889881649e-01 2.090364871914488720e+00 -4.172904494890693705e+00 4.783853830667067486e-01 2.428602016608145231e+00 2.784093942092387142e-01
1.916491747100780296e+00 -2.409160490205716210e-01 2.079303676002628443e+00 -4.150823509124586863e+00 4.809302323374221588e-01 2.380801571754669776e+00 2.758168202078208342e-01
1.925607560195544687e+00 -2.421696268745611169e-01 2.068540274708551951e+00 -4.129336997814260890e+00 4.834326951361367364e-01 2.333967515820321026e+00 2.732368195129591948e-01
1.934810506662289820e+00 -2.434234221392204134e-01 2.057885893916489461e+00 -4.108068119377900729e+00 4.859355919374316324e-01 2.288827549502425285e+00 2.707116642855107447e-01
1.943950793493675056e+00 -2.446571466436691378e-01 2.047508661446983513e+00 -4.087352500094549868e+00 4.883984223506510070e-01 2.244580347117369978e+00 2.681986750243631756e-01
1.953177849952070888e+00 -2.458910897135148099e-01 2.037233750899638540e+00 -4.066841141600900045e+00 4.908616890714685432e-01 2.201910550043804093e+00 2.657387847196349684e-01
1.962337248157349334e+00 -2.471047251117054755e-01 2.027228038460255455e+00 -4.046867171592703372e+00 4.932844164682784749e-01 2.160066615381631916e+00 2.632906686110910166e-01
1.971582956835044476e+00 -2.483185799749615397e-01 2.017318347298254988e+00 -4.027084884670458109e+00 4.957075819685452522e-01 2.119694937644991839e+00 2.608940584404441654e-01
1.980765647449155953e+00 -2.495131632084520157e-01 2.007660121389155172e+00 -4.007804586904960331e+00 4.980922763500789108e-01 2.080088163299041337e+00 2.585088448355863933e-01
1.990034275482214454e+00 -2.507079670104579994e-01 1.998092177480184084e+00 -3.988704515155220953e+00 5.004774110377184781e-01 2.041852869016036465e+00 2.561733505589067761e-01
1.999236780196493424e+00 -2.518835060495040468e-01 1.988767092189044572e+00 -3.970089251510833250e+00 5.028240883145826956e-01 2.004327010662273700e+00 2.538488910727488279e-01
2.008524790499143897e+00 -2.530592665951684195e-01 1.979526910122387351e+00 -3.951643476465732885e+00 5.051712077701300263e-01 1.968080672048938995e+00 2.515724527390122423e-01
2.017751272217048975e+00 -2.542167415449302914e-01 1.970513921395995460e+00 -3.933651237612373563e+00 5.074818244834107261e-01 1.932493199558011021e+00 2.493067024248668551e-01
2.027062911777099963e+00 -2.553744391433677707e-01 1.961580924604290788e+00 -3.915818683163501124e+00 5.097928856550895116e-01 1.898103718982731891e+00 2.470875408273411900e-01
2.036308190948969532e+00 -2.565136326437347236e-01 1.952869418603073060e+00 -3.898428281154454833e+00 5.120670078982137996e-01 1.864326827525958352e+00 2.448787328518652051e-01
2.045638190549072366e+00 -2.576530496862117214e-01 1.944233260379258033e+00 -3.881188292620139535e+00 5.143415763831402643e-01 1.831673970194927170e+00 2.427152015824367848e-01
2.054905902469096546e+00 -2.587748389004632110e-01 1.935805007784645593e+00 -3.864363337057843850e+00 5.165809551987934345e-01 1.799591250942181864e+00 2.405617008269715085e-01
2.064257970831269162e+00 -2.598968527291971586e-01 1.927447846981372948e+00 -3.847680298929832432e+00 5.188207823968500332e-01 1.768558217686481804e+00 2.384518044530186398e-01
2.073546418966113247e+00 -2.610014391387173727e-01 1.919290679322925186e+00 -3.831396498425124530e+00 5.210258199934433287e-01 1.738056538934056094e+00 2.363516300249103030e-01
2.082918834544562614e+00 -2.621062511550024121e-01 1.911200619687538405e+00 -3.815246662730785498e+00 5.232313079531596411e-01 1.708540053814253890e+00 2.342937269522882560e-01
2.092229319461592407e+00 -2.631941868182552380e-01 1.903300509371576021e+00 -3.799476014607172214e+00 5.254031063808078938e-01 1.679519304740358709e+00 2.322452486217732315e-01
2.101623412384348466e+00 -2.642823491464932339e-01 1.895463816104338006e+00 -3.783831963161846446e+00 5.275753572839260164e-01 1.651423973111426413e+00 2.302377493110790430e-01
2.110954285512116613e+00 -2.653538263622627347e-01 1.887810087827965111e+00 -3.768553156775638957e+00 5.297143004202069516e-01 1.623791629177355089e+00 2.282393884710150200e-01
